Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Nhà riêng	Nha Trang Homestay Vy House - 6 phòng ngủ	12 khách · 6 Phòng ngủ · 4 phòng tắm	3,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ dịch vụ	Gigantic Oceanfront 2 bedroom apartment for 10pax- Căn hộ chính biển dành cho 10pax trung tâm thành phố	10 khách · 2 Phòng ngủ · 2 phòng tắm	1,663,200₫/đêm 1,848,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Beach-front Stylish Apartment	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Spacious! Apartment in Cham Oasis Resort	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Larina Beach House Nha Trang	4 khách · 2 Phòng ngủ · 2 phòng tắm	790,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	[VIEVID 3] Căn hộ view biển trong KS 4* Ariyana Nha Trang	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,121,000₫/đêm 1,180,000₫	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	4-BR FULL HOUSE by Local MARKET ∙ NTR4	10 khách · 4 Phòng ngủ · 5 phòng tắm	3,098,212₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Mường Thanh Quê Hương	Tropical Paradise - Nha Trang city	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Home sweet	6 khách · 2 Phòng ngủ · 1 phòng tắm	834,134₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Cherry Apartments - Mường Thanh Luxury 0838	5 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Beautiful Sea Mountain view Apartment	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,150,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	HQH Sea View Condotel	6 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	EmƠi home - 1 bedroom - in city center and near the beach	3 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Christina's The Market Hide Out	10 khách · 4 Phòng ngủ · 5 phòng tắm	3,098,212₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Kem & Stay Nha Trang - Tropical Green full home - 5 mins walk to beach	6 khách · 1 Phòng ngủ · 1 phòng tắm	580,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Super Private Room II Peaceful II 3 min to Beach - NHA2881	2 khách · 1 Phòng ngủ · 1 phòng tắm	272,000₫/đêm 340,000₫	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Full house 3 floors - 12 persons - Nha Trang Beach	12 khách · 3 Phòng ngủ · 3 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	VENITY VILLA Chill	8 khách · 4 Phòng ngủ · 5 phòng tắm	18,480,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	♥️[BAYHOMES] Muong Thanh-Nha Trang/ Ocean View-2BR	4 khách · 2 Phòng ngủ · 2 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Hapier Villa	8 khách · 4 Phòng ngủ · 4 phòng tắm	9,678,900₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Together House - Cozy Double Room Ocean View Balcony	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	Blue Apartment Nha Trang	6 khách · 3 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	SANTORINI Villa for INSTA Photos ∙NTR2	8 khách · 3 Phòng ngủ · 4 phòng tắm	3,336,536₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Cherry Apartments - Mường Thanh Luxury 0840	5 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	♥ À Ơi An Vien ♥ Old charm, pool and private beach	10 khách · 5 Phòng ngủ · 5 phòng tắm	5,934,268₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Ta'or Homestay - 2 Bedrooms - Seaview & Cityview	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Căn hộ toàn cảnh hướng núi	2 khách · 1 Phòng ngủ · 1 phòng tắm	750,721₫/đêm 834,134₫	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Căn hộ QQ House với ban công, gần biển và chợ Đầm	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,380,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Coral House 2 - Room 4	4 khách · 1 Phòng ngủ · 1 phòng tắm	470,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ sang trọng nhìn ra biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	999,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ sang trọng với tầm nhìn toàn cảnh biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,099,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ sang trọng nhìn ra biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	999,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Mường Thanh Viễn Triều OCEANUS	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,550,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	2	
Căn hộ chung cư	Three-bedroom apartments	7 khách · 3 Phòng ngủ · 2 phòng tắm	1,900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Seaview Muong Thanh Vien Trieu Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	889,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	7	
Căn hộ Studio	Standard Apartment with BALCONY - 302	3 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	MIMANCHIHOUSE 2730 căn hộ du lịch 3 phòng ngủ - cảnh biển bãi tiên - THÀNH PHỐ hướng NÚI CÔ TIÊN	7 khách · 3 Phòng ngủ · 2 phòng tắm	999,999₫/đêm	Nha Trang, Khánh Hòa, Vietnam	3	
Căn hộ chung cư	Căn Hộ 2 phòng ngủ mặt biển nhìn ra bãi Du Thuyền	5 khách · 2 Phòng ngủ · 1 phòng tắm	639,200₫/đêm 799,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Wild Sea Apartment in Nha Trang - WS3 - 3 phòng ngủ	6 khách · 3 Phòng ngủ · 2 phòng tắm	1,600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	Navy Apartment - Mường Thanh 04 Trần Phú Nha Trang	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	2 BR Eco Apartment - 50m to the beach	5 khách · 2 Phòng ngủ · 2 phòng tắm	639,200₫/đêm 799,000₫	Nha Trang, Khánh Hòa, Vietnam	3	
Căn hộ chung cư	Great Seaview Private 2BR Apart - 2 MINUTES to the BEACH	5 khách · 2 Phòng ngủ · 2 phòng tắm	631,200₫/đêm 789,000₫	Nha Trang, Khánh Hòa, Vietnam	2	
Căn hộ chung cư	Wonderland 24H Apartments - Căn hộ 2 phòng ngủ nhìn biển rộng	5 khách · 2 Phòng ngủ · 2 phòng tắm	679,200₫/đêm 849,000₫	Nha Trang, Khánh Hòa, Vietnam	3	
Căn hộ dịch vụ	Wild Sea Apartment in Nha Trang - WS1	4 khách · 2 Phòng ngủ · 2 phòng tắm	850,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	2	
Căn hộ dịch vụ	100 apartment - Căn hộ mặt biển - Căn hộ du lịch cao cấp Nha Trang	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,130,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	2	
Căn hộ Studio	Brick House Nha Trang	4 khách · 1 Phòng ngủ · 1 phòng tắm	830,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư · Mường Thanh Quê Hương	Căn hộ Sea View Mường Thanh Nha Trang	6 khách · 2 Phòng ngủ · 2 phòng tắm	975,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	SUPERIOR Apartment - 303	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Căn hộ 2 Phòng ngủ 70m2 View biển Bãi Dương từ phòng ngủ	5 khách · 2 Phòng ngủ · 2 phòng tắm	489,300₫/đêm 699,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	Căn hộ 2 phòng ngủ view Núi Cô Tiên	5 khách · 2 Phòng ngủ · 2 phòng tắm	524,300₫/đêm 749,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	2BR Comfortable Apartment Next to the Beach	4 khách · 2 Phòng ngủ · 2 phòng tắm	560,000₫/đêm 800,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ Studio	SUPERIOR WITH BALCONY Apartment - 201	3 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Khác	HoTel Nhi Như Yến	5 khách · 1 Phòng ngủ · 1 phòng tắm	599,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ Studio	Standard Apartment with BALCONY - 301	3 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	U house	3 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Deluxe Double Room with balcony	3 khách · 1 Phòng ngủ · 1 phòng tắm	480,000₫/đêm 600,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Luxury Seaview Apartment	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,389,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	SN VILLA NHA TRANG	16 khách · 7 Phòng ngủ · 9 phòng tắm	16,900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	EM ƠI - Cozy Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,850,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	EM ƠI - Roomy	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	EM ƠI - Paronama Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Mường Thanh Viễn Triều OCEANUS Nha Trang	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,530,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Beach front an viên villa	15 khách · 6 Phòng ngủ · 7 phòng tắm	8,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Holi Bayview Nha Trang Apartment with Sea View	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Mường Thanh Quê Hương	Mường Thanh Apartment with sea view	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	SALT HOUSE - Phòng giường đơn	2 khách · 1 Phòng ngủ · 1 phòng tắm	580,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Villa Nha Trang Private Beach 4 Bedrooms	20 khách · 5 Phòng ngủ · 4 phòng tắm	6,900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Hòn Chồng Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	STELLA HOUSE & APARTMENTS	4 khách · 1 Phòng ngủ · 1 phòng tắm	690,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	[CAFUNE] Romantic Room 5 mins walk to the beach! FREE COFFEE (1)	2 khách · 1 Phòng ngủ · 1 phòng tắm	315,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	ANNA FLAT IN NHA TRANG BEACH CENTER	5 khách · 2 Phòng ngủ · 2 phòng tắm	2,900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Sea View Sky	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Villa Nha Trang Private Beach 4 Bedrooms F6	15 khách · 4 Phòng ngủ · 4 phòng tắm	6,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Villa Nha Trang Private Beach 4 Bedrooms G8	20 khách · 4 Phòng ngủ · 4 phòng tắm	7,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Sea	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Căn hộ Napoleon Castle	LT's Apartment Nha Trang - Napoleon Castle - Căn hộ view biển	4 khách · 2 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	Căn hộ cao cấp Mường Thanh Viễn Triều -2 beds	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio · Condotel Panorama Nha Trang	Mia's house	2 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Cồn Tân Lập	Beautiful Apartment - MTKH - 08	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	La Rire Apartments	2 khách · 1 Phòng ngủ · 1 phòng tắm	623,700₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Phòng 3 người view nhìn ra sông và núi	3 khách · 1 Phòng ngủ · 1 phòng tắm	524,313₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Chubee Apartment - Căn hộ view biển Nha Trang chỉ 200k/người	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Diagon Alley - Hẻm Xéo Homestay - Phòng ĐƠN View Ban Công Vườn	2 khách · 1 Phòng ngủ · 1 phòng tắm	699,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Anna Apartment Center Nha Trang	6 khách · 2 Phòng ngủ · 2 phòng tắm	2,900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	Annie's House Apartment nằm cạnh biển - Phòng View biển và sông - 3610	6 khách · 2 Phòng ngủ · 2 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự · An Viên Nha Trang	Anna Villa Nha Trang Private Beach 5 Bedrooms	18 khách · 5 Phòng ngủ · 5 phòng tắm	6,900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Villa Nha Trang Private Beach 5 Bedrooms K3	18 khách · 5 Phòng ngủ · 4 phòng tắm	7,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Beautiful Apartment - MTKH - 06	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	OseaHouse Nha Trang chuẩn 3.5 sao- View Biển	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,189,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	The Wooden House	5 khách · 2 Phòng ngủ · 2 phòng tắm	800,000₫/đêm 1,000,000₫	Nha Trang, Khánh Hòa, Vietnam	
Khác	EM ƠI - Petite Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	May House - Cozy 1 bedroom apartment	3 khách · 1 Phòng ngủ · 1 phòng tắm	470,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Như yến phòng đẹp có ban công rộng thoáng	6 khách · 7 Phòng ngủ · 7 phòng tắm	857,966₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Mường Thanh Apartment with sea view	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	MIMANCHIHOUSE 3124 căn hộ du lịch 2 phòng ngủ - cảnh biển CÔ TIÊN	5 khách · 2 Phòng ngủ · 2 phòng tắm	599,999₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Timeless 1 - Studio apartment with big window	2 khách · 1 Phòng ngủ · 1 phòng tắm	360,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Merci Hotel - Double Room For 2 Persons - Gần Vincom Shopping Mall & Chợ Đêm	2 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Diagon Alley - Hẻm Xéo Homestay - Phòng Dorm Tập Thể	6 khách · 1 Phòng ngủ · 1 phòng tắm	169,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	MIMANCHIHOUSE 2324 căn hộ du lịch 2 phòng ngủ - cảnh biển VINPEARL LAND và SÔNG CÁI tháp bà PONAGAR	6 khách · 2 Phòng ngủ · 1 phòng tắm	799,999₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	Annie's House Apartment nằm cạnh biển - Phòng View biển và sông	6 khách · 2 Phòng ngủ · 2 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	GODY FLIGHT-HOTEL	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,050,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Nha Trang Beach - OseaHouse Căn hộ sát biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,089,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	Căn hộ 2 phòng ngủ view biển H738740 Ha's House	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaside Apartment - Căn hộ cao cấp sát cạnh bãi biển - 3414	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Diagon Alley - Hẻm Xéo Homestay - Phòng Đôi View Ban Công Vườn	4 khách · 1 Phòng ngủ · 1 phòng tắm	990,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Merci Hotel - Triple Room For 2 ~ 3 Khách - Gần Vincom Shopping Mall & Chợ Đêm	4 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Diagon Alley - Hẻm Xéo Homestay - Phòng Cây Nhỏ	2 khách · 1 Phòng ngủ · 1 phòng tắm	590,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Valerie Rooftop Homestay|Cosy Apartment@7min to Beach	4 khách · 1 Phòng ngủ · 1 phòng tắm	595,810₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	Annie's House Apartment nằm cạnh biển - Phòng View biển và sông	6 khách · 2 Phòng ngủ · 2 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	S:house Phòng Deluxe 4 người	4 khách · 1 Phòng ngủ · 1 phòng tắm	862,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	S:house Phòng Deluxe giường đôi 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	536,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Valerie Rooftop Homestay|Joy Apartment@3min to Stone Church	4 khách · 1 Phòng ngủ · 1 phòng tắm	595,810₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Seahome Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Lu Lu Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,570,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Mường Thanh Viễn Triều OCEANUS Apartments	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,550,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	Empty Apartment Nha Trang	2 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	✨SPACIOUS Family Apt by The Beach❤️AIRPORT PICKUP	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	SENS HOUSE ✨OCEAN view 2BR Apt by The Beach❤️AIRPORT PICKUP	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,580,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự · An Viên Nha Trang	Lion Anvien Villa	12 khách · 4 Phòng ngủ · 4 phòng tắm	6,000,000₫/đêm 10,000,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Mini Home 3	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Căn hộ Paronama	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	View Biển 2PN Trần Phú Nha Trang cách biển 100m	6 khách · 2 Phòng ngủ · 2 phòng tắm	999,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ View Biển Nha Trang 2908	4 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	La Sera Suites Nha Trang	3 khách · 1 Phòng ngủ · 1 phòng tắm	540,000₫/đêm 600,000₫	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	PLB - 2 Bedrooms	4 khách · 2 Phòng ngủ · 2 phòng tắm	953,296₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Mèo Đen House	12 khách · 3 Phòng ngủ · 3 phòng tắm	1,099,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	PGS 2032	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Beautiful Seaview Apartment (BSA)	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Sea Town Apartment - Căn Hộ Studio 1 Phòng Ngủ	2 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Rainy House - Apartment suitable for 2 people	3 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	⭐CĂN HỘ 2PN NHÌN BIỂN RỘNG-CHỈ 1 PHÚT XUỐNG BIỂN	5 khách · 2 Phòng ngủ · 2 phòng tắm	693,000₫/đêm 990,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	✳️2BR SWEET APARTMENT-Căn hộ phong cách BALI	4 khách · 2 Phòng ngủ · 2 phòng tắm	552,300₫/đêm 789,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	❤️❤️Căn hộ 2PN tầng cao 360 đô 2View biển+thành phố	5 khách · 2 Phòng ngủ · 2 phòng tắm	559,300₫/đêm 799,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ 2 giường riêng biệt trực diện biển	4 khách · 2 Phòng ngủ · 1 phòng tắm	965,212₫/đêm 1,072,458₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	SUPERIOR Apartment - 603	4 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Freelife Home & Apartment - 302 (Studio)	6 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	Relaxing 2 BR Apartment with gateway to the Ocean	5 khách · 2 Phòng ngủ · 2 phòng tắm	531,300₫/đêm 759,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	HQH Sea View Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
